Module name, EDFilter name
hltTriggerType, HLTTriggerTypeFilter
hltL1sDoubleMuOpenBptxAND, HLTL1TSeed
hltPreHIL3DoubleMuOpen, HLTPrescaler
hltL1fL1sL1DoubleMuOpenL1Filtered0, HLTMuonL1TFilter
hltL2fL1sL1DoubleMuOpenL1f0L2PreFiltered0, HLTMuonL2FromL1TPreFilter
hltL1fForIterL3L1fL1sL1DoubleMuOpenL1Filtered0, HLTMuonL1TFilter
hltL3fL1DoubleMuOpenL3Filtered0, HLTMuonDimuonL3Filter
hltBoolEnd, HLTBool
hltL1sSingleMu3OpenBptxAND, HLTL1TSeed
hltPreHIL3Mu12, HLTPrescaler
hltL1fL1sSingleMu3OpenL1Filtered7, HLTMuonL1TFilter
hltL2fL1sSingleMu3OpenL2Filtered7, HLTMuonL2FromL1TPreFilter
hltL1fForIterL3L1fL1sSingleMu3OpenL1Filtered7, HLTMuonL1TFilter
hltL3fL1sL1SingleMu3OpenL1f7L2f0L3Filtered12, HLTMuonL3PreFilter
