Module name, EDProducer name
hltGtStage2Digis, L1TRawToDigi
hltGtStage2ObjectMap, L1TGlobalProducer
hltScalersRawToDigi, ScalersRawToDigi
hltOnlineBeamSpot, BeamSpotOnlineProducer
hltMuonDTDigis, DTuROSRawToDigi
hltDt1DRecHits, DTRecHitProducer
hltDt4DSegments, DTRecSegment4DProducer
hltMuonCSCDigis, CSCDCCUnpacker
hltCsc2DRecHits, CSCRecHitDProducer
hltCscSegments, CSCSegmentProducer
hltMuonRPCDigis, RPCUnpackingModule
hltRpcRecHits, RPCRecHitProducer
hltL2OfflineMuonSeeds, MuonSeedGenerator
hltL2MuonSeedsPPOnAA, L2MuonSeedGeneratorFromL1T
hltL2MuonsPPOnAA, L2MuonProducer
hltL2MuonCandidatesPPOnAA, L2MuonCandidateProducer
hltSiStripRawToDigi, SiStripRawToDigiModule
hltSiStripZeroSuppression, SiStripZeroSuppression
hltSiPixelDigis, SiPixelRawToDigi
hltSiPixelClustersPPOnAA, SiPixelClusterProducer
hltSiPixelClustersCachePPOnAA, SiPixelClusterShapeCacheProducer
hltSiPixelRecHitsPPOnAA, SiPixelRecHitConverter
hltSiStripExcludedFEDListProducer, SiStripExcludedFEDListProducer
hltHITrackingSiStripRawToClustersFacilityZeroSuppression, SiStripClusterizer
hltSiStripClustersPPOnAA, MeasurementTrackerEventProducer
hltIterL3OISeedsFromL2MuonsPPOnAA, TSGForOIFromL2
hltIterL3OITrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIterL3OIMuCtfWithMaterialTracksPPOnAA, TrackProducer
hltIterL3OIMuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIterL3OIMuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltL3MuonsIterL3OIPPOnAA, L3MuonProducer
hltIterL3OIL3MuonsLinksCombinationPPOnAA, L3TrackLinksCombiner
hltIterL3OIL3MuonsPPOnAA, L3TrackCombiner
hltIterL3OIL3MuonCandidatesPPOnAA, L3MuonCandidateProducer
hltL2SelectorForL3IOPPOnAA, HLTMuonL2SelectorForL3IO
hltIterL3MuonPixelTracksFilter, PixelTrackFilterByKinematicsProducer
hltIterL3MuonPixelTracksFitter, PixelFitterByHelixProjectionsProducer
hltIterL3MuonPixelTracksTrackingRegionsPPOnAA, MuonTrackingRegionEDProducer
hltIterL3MuonPixelLayerQuadrupletsPPOnAA, SeedingLayersEDProducer
hltIterL3MuonPixelTracksHitDoubletsPPOnAA, HitPairEDProducer
hltIterL3MuonPixelTracksHitQuadrupletsPPOnAA, CAHitQuadrupletEDProducer
hltIterL3MuonPixelTracksPPOnAA, PixelTrackProducer
hltIterL3MuonPixelVerticesPPOnAA, PixelVertexProducer
hltIterL3MuonTrimmedPixelVerticesPPOnAA, PixelVertexCollectionTrimmer
hltIter0IterL3MuonPixelSeedsFromPixelTracksPPOnAA, SeedGeneratorFromProtoTracksEDProducer
hltIter0IterL3MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter0IterL3MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter0IterL3MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter2IterL3MuonClustersRefRemovalPPOnAA, TrackClusterRemover
hltIter2IterL3MuonMaskedMeasurementTrackerEventPPOnAA, MaskedMeasurementTrackerEventProducer
hltIter2IterL3MuonPixelLayerTripletsPPOnAA, SeedingLayersEDProducer
hltIter2IterL3MuonPixelClusterCheckPPOnAA, ClusterCheckerEDProducer
hltIter2IterL3MuonPixelHitDoubletsPPOnAA, HitPairEDProducer
hltIter2IterL3MuonPixelHitTripletsPPOnAA, CAHitTripletEDProducer
hltIter2IterL3MuonPixelSeedsPPOnAA, SeedCreatorFromRegionConsecutiveHitsTripletOnlyEDProducer
hltIter2IterL3MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter2IterL3MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter2IterL3MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter2IterL3MuonMergedPPOnAA, TrackListMerger
hltIter3IterL3MuonClustersRefRemovalPPOnAA, TrackClusterRemover
hltIter3IterL3MuonMaskedMeasurementTrackerEventPPOnAA, MaskedMeasurementTrackerEventProducer
hltIter3IterL3MuonPixelLayerPairsPPOnAA, SeedingLayersEDProducer
hltIter3IterL3MuonL2CandidatesPPOnAA, ConcreteChargedCandidateProducer
hltIter3IterL3MuonTrackingRegionsPPOnAA, CandidateSeededTrackingRegionsEDProducer
hltIter3IterL3MuonPixelClusterCheckPPOnAA, ClusterCheckerEDProducer
hltIter3IterL3MuonPixelHitDoubletsPPOnAA, HitPairEDProducer
hltIter3IterL3MuonPixelSeedsPPOnAA, SeedCreatorFromRegionConsecutiveHitsEDProducer
hltIter3IterL3MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter3IterL3MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter3IterL3MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter3IterL3MuonMergedPPOnAA, TrackListMerger
hltL3MuonsIterL3IOPPOnAA, L3MuonProducer
hltIterL3MuonsFromL2LinksCombinationPPOnAA, L3TrackLinksCombiner
hltL1MuonsPt0PPOnAA, HLTL1TMuonSelector
hltIterL3FromL1MuonPixelTracksTrackingRegionsPPOnAA, CandidateSeededTrackingRegionsEDProducer
hltIterL3FromL1MuonPixelLayerQuadrupletsPPOnAA, SeedingLayersEDProducer
hltIterL3FromL1MuonPixelTracksHitDoubletsPPOnAA, HitPairEDProducer
hltIterL3FromL1MuonPixelTracksHitQuadrupletsPPOnAA, CAHitQuadrupletEDProducer
hltIterL3FromL1MuonPixelTracksPPOnAA, PixelTrackProducer
hltIterL3FromL1MuonPixelVerticesPPOnAA, PixelVertexProducer
hltIterL3FromL1MuonTrimmedPixelVerticesPPOnAA, PixelVertexCollectionTrimmer
hltIter0IterL3FromL1MuonPixelSeedsFromPixelTracksPPOnAA, SeedGeneratorFromProtoTracksEDProducer
hltIter0IterL3FromL1MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA, TrackProducer
hltIter0IterL3FromL1MuonTrackCutClassifierPPOnAA, TrackCutClassifier
hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA, TrackCollectionFilterCloner
hltIter2IterL3FromL1MuonClustersRefRemovalPPOnAA, TrackClusterRemover
hltIter2IterL3FromL1MuonMaskedMeasurementTrackerEventPPOnAA, MaskedMeasurementTrackerEventProducer
hltIter2IterL3FromL1MuonPixelLayerTripletsPPOnAA, SeedingLayersEDProducer
hltIter2IterL3FromL1MuonPixelClusterCheckPPOnAA, ClusterCheckerEDProducer
hltIter2IterL3FromL1MuonPixelHitDoubletsPPOnAA, HitPairEDProducer
hltIter2IterL3FromL1MuonPixelHitTripletsPPOnAA, CAHitTripletEDProducer
hltIter2IterL3FromL1MuonPixelSeedsPPOnAA, SeedCreatorFromRegionConsecutiveHitsTripletOnlyEDProducer
hltIter2IterL3FromL1MuonCkfTrackCandidatesPPOnAA, CkfTrackCandidateMaker
hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA, TrackProducer
