Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
FEDRawDataCollection                  "rawDataRepacker"           ""                "HLT"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
BXVector<GlobalAlgBlk>                "hltGtStage2Digis"          ""                "MyHLT"   
BXVector<GlobalAlgBlk>                "hltGtStage2ObjectMap"      ""                "MyHLT"   
BXVector<GlobalAlgBlk>                "simGtStage2Digis"          ""                "MyHLT"   
BXVector<GlobalAlgBlk>                "unpackGtStage2"            ""                "MyHLT"   
BXVector<GlobalExtBlk>                "hltGtStage2Digis"          ""                "MyHLT"   
BXVector<GlobalExtBlk>                "simGtExtFakeStage2Digis"   ""                "MyHLT"   
BXVector<GlobalExtBlk>                "unpackGtStage2"            ""                "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma"          "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma2"         "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma2"         "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma3"         "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma3"         "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma4"         "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma4"         "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma5"         "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma5"         "MyHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma6"         "MyHLT"   
BXVector<l1t::EGamma>                 "unpackGtStage2"            "EGamma6"         "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum"           "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum2"          "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum2"          "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum3"          "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum3"          "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum4"          "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum4"          "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum5"          "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum5"          "MyHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum6"          "MyHLT"   
BXVector<l1t::EtSum>                  "unpackGtStage2"            "EtSum6"          "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet"             "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet"             "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet2"            "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet2"            "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet3"            "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet3"            "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet4"            "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet4"            "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet5"            "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet5"            "MyHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet6"            "MyHLT"   
BXVector<l1t::Jet>                    "unpackGtStage2"            "Jet6"            "MyHLT"   
BXVector<l1t::Muon>                   "hltL1MuonsPt0PPOnAA"       ""                "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon"            "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon2"           "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon2"           "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon3"           "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon3"           "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon4"           "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon4"           "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon5"           "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon5"           "MyHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon6"           "MyHLT"   
BXVector<l1t::Muon>                   "unpackGtStage2"            "Muon6"           "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau"             "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau2"            "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau2"            "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau3"            "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau3"            "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau4"            "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau4"            "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau5"            "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau5"            "MyHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau6"            "MyHLT"   
BXVector<l1t::Tau>                    "unpackGtStage2"            "Tau6"            "MyHLT"   
FEDRawDataCollection                  "hltFEDSelector"            ""                "MyHLT"   
FEDRawDataCollection                  "hltSiStripDigiToZSRaw"     ""                "MyHLT"   
FEDRawDataCollection                  "packGtStage2"              ""                "MyHLT"   
FEDRawDataCollection                  "rawDataCollector"          ""                "MyHLT"   
FEDRawDataCollection                  "rawDataReducedFormat"      ""                "MyHLT"   
FEDRawDataCollection                  "rawDataRepacker"           ""                "MyHLT"   
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "MyHLT"   
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "MyHLT"   
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "hltMuonCSCDigis"           "MuonCSCALCTDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCLCTDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "hltMuonCSCDigis"           "MuonCSCComparatorDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "hltMuonCSCDigis"           "MuonCSCCorrelatedLCTDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCDCCFormatStatusDigi>    "hltMuonCSCDigis"           "MuonCSCDCCFormatStatusDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCRPCDigi>    "hltMuonCSCDigis"           "MuonCSCRPCDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCStripDigi>    "hltMuonCSCDigis"           "MuonCSCStripDigi"   "MyHLT"   
MuonDigiCollection<CSCDetId,CSCWireDigi>    "hltMuonCSCDigis"           "MuonCSCWireDigi"   "MyHLT"   
MuonDigiCollection<DTLayerId,DTDigi>    "hltMuonDTDigis"            ""                "MyHLT"   
MuonDigiCollection<RPCDetId,RPCDigi>    "hltMuonRPCDigis"           ""                "MyHLT"   
RPCRawDataCounts                      "hltMuonRPCDigis"           ""                "MyHLT"   
SiStripEventSummary                   "hltSiStripRawToDigi"       ""                "MyHLT"   
TCDSRecord                            "unpackTcds"                "tcdsRecord"      "MyHLT"   
bool                                  "hltIter2IterL3FromL1MuonPixelClusterCheckPPOnAA"   ""                "MyHLT"   
bool                                  "hltIter2IterL3MuonPixelClusterCheckPPOnAA"   ""                "MyHLT"   
bool                                  "hltIter3IterL3FromL1MuonPixelClusterCheckPPOnAA"   ""                "MyHLT"   
bool                                  "hltIter3IterL3MuonPixelClusterCheckPPOnAA"   ""                "MyHLT"   
edm::AssociationMap<edm::OneToMany<vector<L2MuonTrajectorySeed>,vector<L2MuonTrajectorySeed>,unsigned int> >    "hltL2MuonsPPOnAA"          ""                "MyHLT"   
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "hltL2MuonsPPOnAA"          ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter2IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter2IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter3IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiPixelCluster> >    "hltIter3IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter2IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3FromL1MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::ContainerMask<edmNew::DetSetVector<SiStripCluster> >    "hltIter3IterL3MuonClustersRefRemovalPPOnAA"   ""                "MyHLT"   
edm::DetSetVector<PixelDigi>          "hltSiPixelDigis"           ""                "MyHLT"   
edm::DetSetVector<SiPixelRawDataError>    "hltSiPixelDigis"           ""                "MyHLT"   
edm::DetSetVector<SiStripDigi>        "hltSiStripRawToDigi"       "ZeroSuppressed"   "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "ProcessedRaw"    "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "ScopeMode"       "MyHLT"   
edm::DetSetVector<SiStripRawDigi>     "hltSiStripRawToDigi"       "VirginRaw"       "MyHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiStripExcludedFEDListProducer"   ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiStripRawToDigi"       ""                "MyHLT"   
edm::EDCollection<DetId>              "hltSiPixelDigis"           "UserErrorModules"   "MyHLT"   
